"external_gene_name","hsapiens_homolog_associated_gene_name"
"KCTD19","KCTD19"
"GALNT9","GALNT9"
"SOHLH2","SOHLH2"
"DCN","DCN"
"GADD45B","GADD45B"
"SLC25A46","SLC25A46"
"OR2L5IP",""
"MANBAL","MANBAL"
"STX5","STX5"
"CYP1A1","CYP1A1"
"REV3L","REV3L"
"GAS2L1","GAS2L1"
"","CAPS"
"KCNMB2","KCNMB2"
"RSF1","RSF1"
"ZSCAN10","ZSCAN10"
"ZIC1","ZIC1"
"TEX54","TEX54"
"","CETP"
"PRPF19","PRPF19"
"GCNT7","GCNT7"
"RMDN3","RMDN3"
"WNT1","WNT1"
"EWSR1","EWSR1"
"DIP2A","DIP2A"
"RANBP3","RANBP3"
"PLOD2","PLOD2"
"SEH1L","SEH1L"
"CCDC59","CCDC59"
"GHRH","GHRH"
"EOGT","EOGT"
"NOL10","NOL10"
"ATP10A","ATP10A"
"DCT","DCT"
"EFL1","EFL1"
"","C1QL3"
"USP18","USP18"
"DEFB115","DEFB115"
"RPL22L1","RPL22L1"
"ANO6","ANO6"
"GFER","GFER"
"NAPG","NAPG"
"ESD","ESD"
"DDRGK1","DDRGK1"
"FAM209B","FAM209A"
"FAM209B","FAM209B"
"SHISA9","SHISA9"
"SPART","SPART"
"TMEM232","TMEM232"
"SLC52A3","SLC52A3"
"OR5D18HP","OR5D18"
"NOXO1","NOXO1"
"LRRN2","LRRN2"
"COL9A3",""
"METTL25","METTL25"
"IYD","IYD"
"C18H2orf69","C2orf69"
"OR5W59",""
"FASTKD5","FASTKD5"
"EIF5A2","EIF5A2"
"RHOJ","RHOJ"
"GLDN","GLDN"
"TP53TG5","TP53TG5"
"TYW5","TYW5"
"PLEKHG4","PLEKHG4"
"TGDS","TGDS"
"GRAMD2B","GRAMD2B"
"LRCH1","LRCH1"
"ZFYVE19","ZFYVE19"
"OR4A2E",""
"TMEM44","TMEM44"
"CTNNBL1","CTNNBL1"
"PPP1R14C","PPP1R14C"
"U6","RNU6-1019P"
"SLC2A2","SLC2A2"
"GPB5","GPHB5"
"RAB42","RAB42"
"eca-mir-9179",""
"eca-mir-6529",""
"LZTS3","LZTS3"
"CMSS1","CMSS1"
"PPP2R5E","PPP2R5E"
"KIF13A","KIF13A"
"TBL3","TBL3"
"DPH2","DPH2"
"CPPED1","CPPED1"
"PLA1A","PLA1A"
"","OIP5"
"TRNAU1AP","TRNAU1AP"
"DBNDD2","DBNDD2"
"CLNS1A","CLNS1A"
"MAIP1","MAIP1"
"","NUDT4B"
"","NUDT4"
"TMEM132A","TMEM132A"
"eca-mir-3200",""
"CCNA1","CCNA1"
"MEX3B","MEX3B"
"UBOX5","UBOX5"
"RHBDD3","RHBDD3"
"GCHFR","GCHFR"
"ODC1","ODC1"
"SPICE1","SPICE1"
"CYP19A1","CYP19A1"
"PSTPIP1","PSTPIP1"
"MTCL1",""
"DNAJC19","DNAJC19"
"DRGX","DRGX"
"TNIK","TNIK"
"ANKRD44","ANKRD44"
"GPR180","GPR180"
"SCN9A","SCN9A"
"FREM2","FREM2"
"","ULBP3"
"","RAET1L"
"","ULBP1"
"","ULBP2"
"","RAET1G"
"PLSCR1","PLSCR1"
"POF1B","POF1B"
"AVP",""
"C1H15orf62","C15orf62"
"EMID1","EMID1"
"IPO13","IPO13"
"OXT","OXT"
"PCIF1","PCIF1"
"AMER2","AMER2"
"","EPHA6"
"DIRAS1","DIRAS1"
"MRPS26","MRPS26"
"DUSP6","DUSP6"
"","WASHC2A"
"","WASHC2C"
"HPCAL1","HPCAL1"
"","SMC2"
"SOX2","SOX2"
"SNX29","SNX29"
"RSAD2","RSAD2"
"LPP","LPP"
"MTMR6","MTMR6"
"RFX2","RFX2"
"LSG1","LSG1"
"TRAF3IP2","TRAF3IP2"
"ZNF711","ZNF711"
"PTPRA","PTPRA"
"RAD51","RAD51"
"CMPK2","CMPK2"
"TMTC2","TMTC2"
"TMEM109","TMEM109"
"TPRG1","TPRG1"
"RRM2","RRM2"
"SLC15A3","SLC15A3"
"RCC1","RCC1"
"OR2L34","OR2L5"
"OR2L34","OR2L3"
"OR2L34","OR2L2"
"OR2L34","OR2L8"
"SOX21","SOX21"
"HDC","HDC"
"TFRC","TFRC"
"WDR89","WDR89"
"PLSCR5","PLSCR5"
"RNF125","RNF125"
"","RAET1E"
"SMAD9",""
"AHSG","AHSG"
"FYN","FYN"
"","PRR23A"
"","PRR23C"
"","PRR23B"
"LRRC36","LRRC36"
"ARHGAP28","ARHGAP28"
"AQP11","AQP11"
"ZNF335","ZNF335"
"TPP2","TPP2"
"GALNT14","GALNT14"
"","MAGED4"
"","MAGED4B"
"CD6","CD6"
"MRPS22","MRPS22"
"TNFRSF17","TNFRSF17"
"HOXB13","HOXB13"
"GSPT1","GSPT1"
"SLC39A3","SLC39A3"
"LIPJ","LIPJ"
"SLC27A2","SLC27A2"
"GHDC","GHDC"
"KCNQ4","KCNQ4"
"CIMAP1C","CIMAP1C"
"ACSBG2","ACSBG2"
"GNRH2","GNRH2"
"SGPP1","SGPP1"
"PAK1","PAK1"
"TUBA8","TUBA8"
"CSPG4","CSPG4"
"","TCFL5"
"FETUB","FETUB"
"RSL1D1","RSL1D1"
"POC1B","GALNT4"
"RNF138","RNF138"
"HYPK",""
"CYS1","CYS1"
"","OR6C65"
"VSTM2L","VSTM2L"
"RNLS","RNLS"
"SLC4A8","SLC4A8"
"CAPN14","CAPN14"
"ISOC1","ISOC1"
"RFXAP","RFXAP"
"FAXC","FAXC"
"KLF11","KLF11"
"IFT88","IFT88"
"DIDO1","DIDO1"
"PHACTR4","PHACTR4"
"TTI1","TTI1"
"LRP11","LRP11"
"COPB2","COPB2"
"ALG5","ALG5"
"TNK2","TNK2"
"GAST","GAST"
"SYNE2","SYNE2"
"OR6C7K",""
"TPPP3","TPPP3"
"NFYC","NFYC"
"MEGF10","MEGF10"
"EHD3","EHD3"
"OR6C201",""
"","FRMD4A"
"RPRD1B","RPRD1B"
"RUBCNL","RUBCNL"
"RPL3L","RPL3L"
"LCLAT1","LCLAT1"
"EMP2","EMP2"
"SMC2","SMC2"
"KISS1R",""
"GRHL1","GRHL1"
"KREMEN1","KREMEN1"
"TBX21","TBX21"
"SLC12A5","SLC12A5"
"UBE3A","UBE3A"
"","FAM168B"
"USP45","USP45"
"PCMT1","PCMT1"
"MSMB","MSMB"
"HSD11B2","HSD11B2"
"ATP8B4","ATP8B4"
"TLL2","TLL2"
"PTEN",""
"ATF7IP2","ATF7IP2"
"ARL5A","ARL5A"
"ARID3A","ARID3A"
"DPP4","DPP4"
"TIMM23","TIMM23"
"TIMM23","TIMM23B"
"VPS37C","VPS37C"
"TBKBP1","TBKBP1"
"ATP2B1","ATP2B1"
"PEX26","PEX26"
"SPG11","SPG11"
"ATP6V0D1","ATP6V0D1"
"CELF4","CELF4"
"DAPL1","DAPL1"
"FAM174A","FAM174A"
"RNF151","RNF151"
"HRG","HRG"
"NDUFB10","NDUFB10"
"PLPP2","PLPP2"
"GDPD4","GDPD4"
"TANC1","TANC1"
"TM9SF3","TM9SF3"
"MICAL3","MICAL3"
"KNG1","KNG1"
"","SPATA31C1"
"","SPATA31A5"
"","SPATA31A3"
"","SPATA31A7"
"","SPATA31A6"
"","SPATA31C2"
"","SPATA31E1"
"","SPATA31A1"
"C14H5orf63","C5orf63"
"PARG","PARG"
"S100B","S100B"
"RPS2","RPS2"
"ADAMTS7","ADAMTS7"
"PRMT2","PRMT2"
"SOCS7","SOCS7"
"LBH","LBH"
"ATAD1","ATAD1"
"SLCO6A1","SLCO6A1"
"SPMAP2","SPMAP2"
"LRRC63","LRRC63"
"MYO7A","MYO7A"
"GID8","GID8"
"DBR1","DBR1"
"RIPOR1","RIPOR1"
"CD5","CD5"
"CAPN13","CAPN13"
"CIMIP1","CIMIP1"
"SLCO4C1","SLCO4C1"
"MARCHF3","MARCHF3"
"ARID2","ARID2"
"MIER2","MIER2"
"C8H22orf31","C22orf31"
"MMP9","MMP9"
"","CPPED1"
"METTL21C","METTL21C"
"DNTT","DNTT"
"TGM2","TGM2"
"OGDHL","OGDHL"
"LAMA1","LAMA1"
"","TRGV8"
"","TRGV3"
"","TRGV1"
"","TRGV2"
"","TRGV5"
"","TRGV4"
"KDM1B","KDM1B"
"TAF1B","TAF1B"
"TBC1D2B","TBC1D2B"
"MED18","MED18"
"GRIN2A","GRIN2A"
"ARMC8","ARMC8"
"ZNRF3","ZNRF3"
"PPP1R3C","PPP1R3C"
"CD248","CD248"
"SESN2","SESN2"
"","SV2B"
"HECTD2","HECTD2"
"","PIGB"
"RIN1","RIN1"
"","OR2T5"
"","OR2T4"
"","OR2T29"
"CAPN5","CAPN5"
"","WDR45"
"NCOA5","NCOA5"
"NUP43","NUP43"
"EXOSC8","EXOSC8"
"HS3ST6","HS3ST6"
"UBE2N","UBE2N"
"RFC4","RFC4"
"CD40","CD40"
"KIF11","KIF11"
"YPEL5","YPEL5"
"OR2T1C","OR2T1"
"LMNB1","LMNB1"
"","POLR2M"
"EEA1","EEA1"
"TNFSF9","TNFSF9"
"SF3B1","SF3B1"
"JUP","JUP"
"GCG","GCG"
"CCDC178","CCDC178"
"AIFM3","AIFM3"
"PAPSS2","PAPSS2"
"","MYZAP"
"KIAA1755","KIAA1755"
"SAXO5","SAXO5"
"","PHACTR1"
"DNAJC8","DNAJC8"
"BRMS1","BRMS1"
"ALK","ALK"
"CIB2","CIB2"
"","MUC4"
"ZNF358","ZNF358"
"MEIOB","MEIOB"
"PTPRM","PTPRM"
"","OR14I1"
"","MYO18B"
"WDSUB1","WDSUB1"
"RIMS3","RIMS3"
"MAN2A1","MAN2A1"
"LATS1","LATS1"
"EIF4A2",""
"FAP","FAP"
"eca-mir-628a","MIR628"
"B4GAT1","B4GAT1"
"PNISR","PNISR"
"NHLRC1","NHLRC1"
"CEP70","CEP70"
"IDE","IDE"
"BPI","BPI"
"SUPT20H","SUPT20H"
"CEP20","CEP20"
"SLC29A2","SLC29A2"
"KATNA1","KATNA1"
"SH2D7","SH2D7"
"JPH2","JPH2"
"OMP","OMP"
"EVI5L","EVI5L"
"ASXL3","ASXL3"
"HAP1","HAP1"
"DTWD1","DTWD1"
"TPMT","TPMT"
"MINPP1","MINPP1"
"KIDINS220","KIDINS220"
"B3GNT6","B3GNT6"
"ATP5IF1","ATP5IF1"
"IDH3A","IDH3A"
"BAZ2B","BAZ2B"
"OSER1","OSER1"
"PJA2","PJA2"
"","EIF4E2"
"PTAFR","PTAFR"
"LCP1","LCP1"
"","MS4A4A"
"","MS4A4E"
"PCSK1","PCSK1"
"ADIPOQ","ADIPOQ"
"GINM1","GINM1"
"SPECC1L","SPECC1L"
"LSS","LSS"
"COQ10B","COQ10B"
"DEK","DEK"
"FAM227B","FAM227B"
"MUC20","MUC20"
"ST6GAL1","ST6GAL1"
"RNF6","RNF6"
"SPMIP10","SPMIP10"
"NOL4","NOL4"
"HAGH","HAGH"
"FER","FER"
"MYH11","MYH11"
"GDAP1L1","GDAP1L1"
"","HSFX3"
"","HSFX4"
"PHAX","PHAX"
"HSPD1","HSPD1"
"ACER3","ACER3"
"RGR","RGR"
"COQ3","COQ3"
"RTP1","RTP1"
"FGF7","FGF7"
"GSDMA","GSDMA"
"FLT1",""
"STXBP5","STXBP5"
"FAHD1","FAHD1"
"MASP1","MASP1"
"MAPK8","MAPK8"
"THEMIS2","THEMIS2"
"eca-mir-1289",""
"MS4A7","MS4A7"
"GALK2","GALK2"
"OPA1","OPA1"
"CPB2","CPB2"
"PRICKLE2","PRICKLE2"
"SGMS1","SGMS1"
"TEX30","TEX30"
"FSTL4","FSTL4"
"ADGRV1","ADGRV1"
"","LBP"
"FITM2","FITM2"
"CLIP4","CLIP4"
"TSTD3",""
"SLC36A1","SLC36A1"
"POGLUT2","POGLUT2"
"IGFALS","IGFALS"
"DDX27","DDX27"
"SNORD68","SNORD68"
"eca-mir-9068",""
"CCNC","CCNC"
"AQP4","AQP4"
"eca-mir-9073",""
"ZC3H13","ZC3H13"
"SRC","SRC"
"THEMIS","THEMIS"
"eca-mir-9074",""
"EME2","EME2"
"eca-mir-9069",""
"RFTN2","RFTN2"
"ACSBG1","ACSBG1"
"GINS2","GINS2"
"ZPBP2","ZPBP2"
"OR4C204","OR4C45"
"MS4A14","MS4A14"
"SLC38A4","SLC38A4"
"CMAS","CMAS"
"EMC8","EMC8"
"RNF144B","RNF144B"
"BOLL","BOLL"
"MS4A5","MS4A5"
"RTP4","RTP4"
"ADORA2A","ADORA2A"
"IFIH1","IFIH1"
"SNCAIP","SNCAIP"
"AGRP","AGRP"
"ASAH2","ASAH2B"
"ASAH2","ASAH2"
"MAPK8IP3","MAPK8IP3"
"","MRTO4"
"CTCF","CTCF"
"EHHADH","EHHADH"
"EYA3","EYA3"
"NXPH3","NXPH3"
"RAB22A","RAB22A"
"PTPRK","PTPRK"
"RGMB","RGMB"
"","AKR7A3"
"","EHHADH"
"SPOP","SPOP"
"U6","RNU6-21P"
"U6","RNU6-936P"
"MAP3K13","MAP3K13"
"CHST9","CHST9"
"BIVM","BIVM"
"BIVM","ERCC5"
"PTCD3","PTCD3"
"PRR36","PRR36"
"UPB1","UPB1"
"OR1J49B",""
"ORMDL3","ORMDL3"
"TSKU","TSKU"
"OR1J46B",""
"OR1J38",""
"GUCD1","GUCD1"
"IKZF3","IKZF3"
"VAPB","VAPB"
"OR1J1C","OR1J1"
"SCAF11","SCAF11"
"COPS2","COPS2"
"SGCG","SGCG"
"OR1J40",""
"OR1J47B",""
"NUDT12","NUDT12"
"CBX2","CBX2"
"MS4A1","MS4A1"
"ID4","ID4"
"FRMPD2","FRMPD2"
"OR1J2","OR1J2"
"ZNFX1","ZNFX1"
"","ST8SIA1"
"OR1J1E","OR1J1"
"NPTX1","NPTX1"
"TMEM41A",""
"LOXL1","LOXL1"
"KCNJ8","KCNJ8"
"LOX","LOX"
"CDH2","CDH2"
"NME9","NME9"
"SNRPD3","SNRPD3"
"OR4F1","OR4F16"
"OR4F1","OR4F21"
"OR4F1","OR4F3"
"OR4F1","OR4F29"
"SACS","SACS"
"ERCC5","BIVM"
"ERCC5","ERCC5"
"OR4G27",""
"NUDT4","NUDT4B"
"NUDT4","NUDT4"
"LRRC75B","LRRC75B"
"HRH3","HRH3"
"MEDAG","MEDAG"
"CBX8","CBX8"
"TSC22D1","TSC22D1"
"OR4K66",""
"ZNF684","ZNF684"
"MACIR","MACIR"
"A1CF","A1CF"
"MS4A12","MS4A12"
"","SERP2"
"TEX26","TEX26"
"ADRM1","ADRM1"
"INSYN1","INSYN1"
"CH25H","CH25H"
"GCA","GCA"
"LRRC32","LRRC32"
"MNS1","MNS1"
"METTL21EP","METTL21EP"
"R3HDML","R3HDML"
"GGT5","GGT5"
"OTOP2","OTOP2"
"E2F6","E2F6"
"ST3GAL5","ST3GAL5"
"MARCHF5","MARCHF5"
"BID","BID"
"","NNAT"
"LIPH","LIPH"
"TM9SF2","TM9SF2"
"HNF4A","HNF4A"
"MRPL42","MRPL42"
"LAMA5","LAMA5"
"","ZNF475"
"LRRC30","LRRC30"
"USH1G","USH1G"
"CPEB3","CPEB3"
"","DEFB125"
"SMIM2",""
"","MAGEA11"
"","MAGEB17"
"","MAGEB1"
"","MAGEA9"
"","MAGEA9B"
"","MAGEA8"
"","MAGEA12"
"","MAGEA2B"
"","MAGEA2"
"","MAGEA4"
"","MAGEA6"
"","MAGEA3"
"","MAGEC2"
"","MAGEC1"
"","MAGEC3"
"Y_RNA",""
"DTNA","DTNA"
"BCL2L13","BCL2L13"
"TBC1D21","TBC1D21"
"SLC32A1","SLC32A1"
"MS4A13","MS4A13"
"","ZNF684"
"EMSY","EMSY"
"","NAALAD2"
"","GGTLC2"
"","GGTLC3"
"","GGT1"
"","GGTLC1"
"BIRC5","BIRC5"
"LACC1","LACC1"
"ACTR5","ACTR5"
"EXO5","EXO5"
"SENP2","SENP2"
"MS4A8","MS4A8"
"LRRC8E","LRRC8E"
"ROCK2","ROCK2"
"OCSTAMP","OCSTAMP"
"HSPH1","HSPH1"
"THA1",""
"NDE1","NDE1"
"POLR1A","POLR1A"
"CSTF2T","CSTF2T"
"","UGT3A2"
"MRAS","MRAS"
"","CYP4F2"
"ST8SIA4","ST8SIA4"
"AKIRIN1","AKIRIN1"
"ESYT3","ESYT3"
"FAM76A","FAM76A"
"SLC13A3","SLC13A3"
"IL7R","IL7R"
"HMGB1",""
"NPAS4","NPAS4"
"AMIGO2","AMIGO2"
"TMEM235","TMEM235"
"MAP2K7","MAP2K7"
"CD276","CD276"
"GDF5","GDF5"
"EFNA5","EFNA5"
"","SEC11C"
"BTAF1","BTAF1"
"HES1","HES1"
"PCED1B","PCED1B"
"PCARE","PCARE"
"GRB7","GRB7"
"MARCHF7","MARCHF7"
"RBP3","RBP3"
"TMEM200C","TMEM200C"
"CCDC122","CCDC122"
"MINAR2","MINAR2"
"TIMP2","TIMP2"
"","SLC43A3"
"LTBP1","LTBP1"
"CEP250","CEP250"
"USPL1","USPL1"
"BICC1","BICC1"
"GLRX","GLRX"
"SUSD2","SUSD2"
"","CXorf49"
"","CXorf49B"
"GMNC","GMNC"
"SMAP2","SMAP2"
"RHOBTB3","RHOBTB3"
"ZNF488","ZNF488"
"ZNF608","ZNF608"
"SOCS2","SOCS2"
"TEX9","TEX9"
"OR5W2I",""
"PIEZO2","PIEZO2"
"GPR18","GPR18"
"","POM121L12"
"PARD6A","PARD6A"
"GPR183","GPR183"
"VSTM2A","VSTM2A"
"TGFBR3L","TGFBR3L"
"NPTN","NPTN"
"ENOX1","ENOX1"
"OSTN","OSTN"
"SNAPC2","SNAPC2"
"SEMA3E","SEMA3E"
"FAIM","FAIM"
"TLR4","TLR4"
"ATP6V1E1","ATP6V1E1"
"","ANTXRL"
"CAPSL","CAPSL"
"FBXL17","FBXL17"
"TP53RK","TP53RK"
"UTS2B","UTS2B"
"NME3","NME3"
"KCNH7","KCNH7"
"IGF2BP2","IGF2BP2"
"CARMIL2","CARMIL2"
"PIK3CB","PIK3CB"
"ASAH1","ASAH1"
"SLC2A10","SLC2A10"
"XPO4","XPO4"
"RPA2","RPA2"
"SASH1","SASH1"
"SPATA9","SPATA9"
"PPP1R2","PPP1R2"
"PPP1R2","PPP1R2B"
"GPR108","GPR108"
"CABIN1","CABIN1"
"NUBP2","NUBP2"
"SSRP1","SSRP1"
"TAMALIN","TAMALIN"
"EIF3J",""
"MARS2","MARS2"
"SPSB3","SPSB3"
"APOD","APOD"
"RBFOX1","RBFOX1"
"RHBDL2","RHBDL2"
"CLDN10","CLDN10"
"ACVR1B","ACVR1B"
"MRPS34","MRPS34"
"PREX1","PREX1"
"MIEN1","MIEN1"
"CEP120","CEP120"
"JPT2","JPT2"
"RFESD","RFESD"
"PLCL1","PLCL1"
"","PCM1"
"DZIP1","DZIP1"
"RRAGC","RRAGC"
"CD302","CD302"
"GAL3ST3","GAL3ST3"
"REC114","REC114"
"SLC25A18","SLC25A18"
"TMC2","TMC2"
"ERBB2","ERBB2"
"BDH1","BDH1"
"PCLO","PCLO"
"NEDD4","NEDD4"
"TIMP2","CEP295NL"
"CTDSPL2","CTDSPL2"
"SF3B2","SF3B2"
"CLVS2","CLVS2"
"MEF2C","MEF2C"
"ESR2","ESR2"
"TRIP10","TRIP10"
"CRAMP1","CRAMP1"
"LGALS3BP","LGALS3BP"
"HCN4","HCN4"
"COL9A2",""
"U2","RNU2-36P"
"U2","RNU2-59P"
"TMBIM6","TMBIM6"
"U1","RNU1-103P"
"U1","RNU1-35P"
"SMLR1","SMLR1"
"APCDD1","APCDD1"
"NBEA","NBEA"
"RPRM","RPRM"
"NEO1","NEO1"
"","IL17D"
"MFSD4B","SLC16A10"
"TRIM47","TRIM47"
"NDUFV2","NDUFV2"
"CHD1","CHD1"
"GRB14","GRB14"
"","ANXA8"
"","ANXA8L1"
"FGFBP3","FGFBP3"
"EPB41L2","EPB41L2"
"LATS2","LATS2"
"SNRPB","SNRPB"
"","GPC5"
"CBX4","CBX4"
"ADCY5","ADCY5"
"THAP12","THAP12"
"SH2D3A","SH2D3A"
"SNORD86","SNORD86"
"PCCB","PCCB"
"SEMA3D","SEMA3D"
"DLEU7","DLEU7"
"SNORD110","SNORD110"
"MTHFD1","MTHFD1"
"ZMPSTE24","ZMPSTE24"
"CCNG2","CCNG2"
"U6","RNU6-446P"
"SLC26A11","SLC26A11"
"TGM6","TGM6"
"VAV1","VAV1"
"GABRG2","GABRG2"
"","SNORD94"
"SNORD56","SNORD56"
"FBN2","FBN2"
"SNORD57","SNORD57"
"eca-mir-8961",""
"GOLM2","GOLM2"
"PLB1","PLB1"
"HTR7","HTR7"
"GTF3C3","GTF3C3"
"GVQW3","GVQW3"
"POLR1D",""
"eca-mir-103","MIR103A2"
"TRA2B","TRA2B"
"IPMK","IPMK"
"CECR2","CECR2"
"SHLD2","SHLD2"
"TRIM13","TRIM13"
"TMEM161B","TMEM161B"
"HHEX","HHEX"
"NCKAP5L","NCKAP5L"
"SLC66A3","SLC66A3"
"PCGF5","PCGF5"
"COBLL1","COBLL1"
"TGM3","TGM3"
"MELTF","MELTF"
"DNAJC3","DNAJC3"
"LNX2","LNX2"
"CACNA2D1","CACNA2D1"
"ENKD1","ENKD1"
"ARRB1","ARRB1"
"C2orf66","C2orf66"
"RAB1B","RAB1B"
"ETV5","ETV5"
"SGSH","SGSH"
"STK35","STK35"
"RPS21","RPS21"
"","POF1B"
"TMCO2","TMCO2"
"CISD1","CISD1"
"SNCG","ADIRF"
"ACD","ACD"
"PDYN","PDYN"
"STX12","STX12"
"PARD3B","PARD3B"
"TSHR","TSHR"
"RLF","RLF"
"PLAAT1","PLAAT1"
"C15H2orf50","CIMIP5"
"CARD14","CARD14"
"PPIP5K2","PPIP5K2"
"BCDIN3D","BCDIN3D"
"LINGO1","LINGO1"
"MAPRE2","MAPRE2"
"GLUD1","GLUD2"
"GLUD1","GLUD1"
"MBOAT2","MBOAT2"
"SIRPA","SIRPG"
"SIRPA","SIRPA"
"SIRPA","SIRPB1"
"ANKRD1","ANKRD1"
"CDK8","CDK8"
"CABLES2","CABLES2"
"IFT140","IFT140"
"SPRYD7","SPRYD7"
"P2RX3","P2RX3"
"PPP1R8","PPP1R8"
"TFB1M","TFB1M"
"AQP2","AQP2"
"C3H16orf86","C16orf86"
"","MARK1"
"MARF1","MARF1"
"UBE2D1","UBE2D1"
"AQP6","AQP6"
"","HIGD1A"
"DGKG","DGKG"
"","RALY"
"RANBP10","RANBP10"
"","FOXO6"
"ADGRE1","ADGRE1"
"STAG1","STAG1"
"FOXO6",""
"ATP13A5","ATP13A5"
"PACS1","PACS1"
"FGR","FGR"
"RBBP8NL","RBBP8NL"
"CLDN20","CLDN20"
"RACGAP1","RACGAP1"
"SCMH1","SCMH1"
"ARFGEF2","ARFGEF2"
"TIAM2","TIAM2"
"KPNA3","KPNA3"
"FOSL2","FOSL2"
"","SIRPG"
"","SIRPA"
"","SIRPB1"
"UGGT2","UGGT2"
"EIF4A3","EIF4A3"
"","IK"
"MMRN2","MMRN2"
"YWHAQ","YWHAQ"
"WASF3","WASF3"
"PHYHIPL","PHYHIPL"
"RBKS","RBKS"
"SLCO2B1","SLCO2B1"
"RPP30","RPP30"
"ATP13A4","ATP13A4"
"SKIC8","SKIC8"
"AHDC1","AHDC1"
"DDT","DDT"
"DDT","DDTL"
"TMEM204","TMEM204"
"GATA5","GATA5"
"BMPR1A","BMPR1A"
"RASA1","RASA1"
"BMERB1","BMERB1"
"","EIF2S2"
"","RBP1"
"ZBTB25","ZBTB25"
"TELO2","TELO2"
"","TMCO6"
"ADAM17","ADAM17"
"SEMA3A","SEMA3A"
"TTLL6","TTLL6"
"","RAD23B"
"U6","RNU6-1279P"
"SLCO4A1","SLCO4A1"
"GPR12","GPR12"
"U6","RNU6-485P"
"","SNORA13"
"EBPL","EBPL"
"GAA","GAA"
"U1","RNU1-109P"
"ANKRD12","ANKRD12"
"ZNF396","ZNF396"
"U6","RNU6-989P"
"SIRPB2","SIRPB2"
"LVRN","LVRN"
"CLEC16A","CLEC16A"
"","TTLL6"
"","SATL1"
"USP12","USP12"
"","PSMA1"
"ARL11","ARL11"
"ZNF397","ZNF397"
"LDB3","LDB3"
"MRPL33","MRPL33"
"RCBTB1","RCBTB1"
"FAS","FAS"
"FAM13C","FAM13C"
"SLC2A11","SLC2A11"
"CALCOCO2","CALCOCO2"
"DNAI2","DNAI2"
"MROH8","MROH8"
"AKAP5","AKAP5"
"PTX4","PTX4"
"HGF","HGF"
"CPN2","CPN2"
"TTYH2","TTYH2"
"","APOOL"
"CTPS1","CTPS1"
"CD14","CD14"
"SNORD81","SNORD81"
"DNAJA4","DNAJA4"
"SLC4A1AP","SLC4A1AP"
"CCDC154","CCDC154"
"ACTA2","ACTA2"
"IQCC","IQCC"
"IAH1","IAH1"
"HSPA2","HSPA2"
"GOLGB1","GOLGB1"
"","APLP2"
"","ZNF711"
"HDHD5","HDHD5"
"SNORD79","SNORD79"
"TRIM36","TRIM36"
"TWSG1","TWSG1"
"MSRB2","MSRB2"
"PPP1R36","PPP1R36"
"PHACTR3","PHACTR3"
"VWA5B2","VWA5B2"
"CPSF3","CPSF3"
"TMEM151A","TMEM151A"
"TPBGL","TPBGL"
"SNORD24",""
"CRABP1","CRABP1"
"","SNORD74B"
"","PRG3"
"TMEM121B","TMEM121B"
"","CMAS"
"SMOC1","SMOC1"
"eca-mir-135b","MIR135B"
"OPN4","OPN4"
"","PRG2"
"MIR199A2","MIR199A2"
"CAMK2N2","CAMK2N2"
"PHF11","PHF11"
"CCNH","CCNH"
"MIR214","MIR214"
"YIF1A","YIF1A"
"ZNF24","ZNF24"
"RASL11A","RASL11A"
"S100PBP","S100PBP"
"WAPL","WAPL"
"PRTG","PRTG"
"NME7","NME7"
"IREB2","IREB2"
"FIGNL1","FIGNL1"
"ADRB2","ADRB2"
"TSNAXIP1","TSNAXIP1"
"FEV","FEV"
"CLCN7","CLCN7"
"ALG3","ALG3"
"INO80C","INO80C"
"STAMBPL1","STAMBPL1"
"TMCO6","TMCO6"
"GTF3A","GTF3A"
"CFAP65","CFAP65"
"SLFNL1","SLFNL1"
"IL17RA","IL17RA"
"HCLS1","HCLS1"
"","CLDN18"
"SLC8A3","SLC8A3"
"RPN2","RPN2"
"SLC6A4","SLC6A4"
"ASIC1","ASIC1"
"FRMD5","FRMD5"
"YARS1","YARS1"
"PSMD2","PSMD2"
"FARP1","FARP1"
"DDC","DDC"
"SETDB2","SETDB2"
"SLC16A9","SLC16A9"
"CSE1L","CSE1L"
"SUPT7L","SUPT7L"
"U6","RNU6-1255P"
"U6","RNU6-930P"
"ANAPC1","ANAPC1"
"NRP2","NRP2"
"WSCD1","WSCD1"
"NASP","NASP"
"U6","RNU6-932P"
"eca-mir-9085",""
"U2","RNU2-21P"
"ARHGAP19","ARHGAP19"
"PERCC1","PERCC1"
"SLC38A10","SLC38A10"
"SEC63","SEC63"
"GIN1","GIN1"
"RASA2","RASA2"
"MTIF3","MTIF3"
"ABCC3","ABCC3"
"SLC12A2","SLC12A2"
"CCDC6","CCDC6"
"ITGB1BP1","ITGB1BP1"
"TRPV3","TRPV3"
"","UQCC4"
"ELL2","ELL2"
"ABCC5","ABCC5"
"TNFRSF19","TNFRSF19"
"FBXO40","FBXO40"
"GPN1","GPN1"
"SLC38A11","SLC38A11"
"SPINK6","SPINK6"
"RORA","RORA"
"OR5D18OP","OR5D18"
"PAM","PAM"
"OR5W1IP",""
"POLQ","POLQ"
"USP51","USP51"
"COX14","COX14"
"ASAP2","ASAP2"
"YOD1","YOD1"
"THAP11","THAP11"
"COX16","COX16"
"SMARCD1","SMARCD1"
"SPINK14","SPINK14"
