"gene","type"
"ADGRA2","receptor"
"ADGRB1","receptor"
"ADGRB2","receptor"
"ADGRB3","receptor"
"ADGRE5","receptor"
"ADGRG1","receptor"
"ADGRG6","receptor"
"ADGRL1","receptor"
"ADGRL2","receptor"
"ADGRL3","receptor"
"UNC5B","receptor"
"UNC5C","receptor"
"UNC5D","receptor"
"CLSTN1","receptor"
"CLSTN2","receptor"
"CLSTN3","receptor"
"LRRTM1","receptor"
"LRRTM2","receptor"
"LRRTM3","receptor"
"LRRTM4","receptor"
"SORL1","receptor"
"TNFRSF21","receptor"
"TREM2_TYROBP","receptor"
"ABCA1","receptor"
"CUBN_AMN","receptor"
"CADM4","receptor"
"EPB41L1","receptor"
"TREML2","receptor"
"MMP14_ITGAV_ITGB3","receptor"
"DCC","receptor"
"DSCAM","receptor"
"CD200R1","receptor"
"CD177","receptor"
"CD38","receptor"
"ITGAD_ITGB2","receptor"
