horse_symbol,horse_gene_id,human_gene_id,human_symbol,status
GNG10,100630493,2790.0,GNG10,OK
GNG11,100051499,2791.0,GNG11,OK
GNG12,100630574,55970.0,GNG12,OK
GNG13,100065327,51764.0,GNG13,OK
GNG14,100063518,105372280.0,GNG14,OK
GNG2,100630067,54331.0,GNG2,OK
GNG3,100063795,2785.0,GNG3,OK
GNG4,100058605,2786.0,GNG4,OK
GNG5,100064813,2787.0,GNG5,OK
GNG7,100059736,2788.0,GNG7,OK
GNG8,106782014,94235.0,GNG8,OK
GNGT1,100051430,2792.0,GNGT1,OK
GNGT2,100069660,2793.0,GNGT2,OK
GNL1,100051374,2794.0,GNL1,OK
GNL2,100054791,29889.0,GNL2,OK
GNL3,100060056,26354.0,GNL3,OK
GNL3L,100060512,54552.0,GNL3L,OK
GNLY,100034133,10578.0,GNLY,OK
GNMT,100067145,27232.0,GNMT,OK
GNPAT,100060758,8443.0,GNPAT,OK
GNPDA1,100061298,10007.0,GNPDA1,OK
GNPDA2,100062333,132789.0,GNPDA2,OK
GNPNAT1,100054883,64841.0,GNPNAT1,OK
GNPTAB,100067011,79158.0,GNPTAB,OK
GNPTG,100067580,84572.0,GNPTG,OK
GNRH1,100630270,2796.0,GNRH1,OK
GNRHR,100033874,2798.0,GNRHR,OK
GNRHR2,100065736,,,NO_ORTHOLOG
GNS,100034131,2799.0,GNS,OK
GOLGA1,100067264,2800.0,GOLGA1,OK
GOLGA2,100067033,2801.0,GOLGA2,OK
GOLGA3,100061493,2802.0,GOLGA3,OK
GOLGA4,100050216,2803.0,GOLGA4,OK
GOLGA5,100053313,9950.0,GOLGA5,OK
GOLGA7,100050524,51125.0,GOLGA7,OK
GOLGA7B,100070662,401647.0,GOLGA7B,OK
GOLGB1,100070765,2804.0,GOLGB1,OK
GOLIM4,100062569,27333.0,GOLIM4,OK
GOLM1,100064873,51280.0,GOLM1,OK
GOLM2,100070663,113201.0,GOLM2,OK
GOLPH3,100068637,64083.0,GOLPH3,OK
GOLPH3L,100054851,55204.0,GOLPH3L,OK
GOLT1A,100054345,127845.0,GOLT1A,OK
GOLT1B,100064232,51026.0,GOLT1B,OK
GON7,100053408,84520.0,GON7,OK
GOPC,100072790,57120.0,GOPC,OK
GORAB,100059246,92344.0,GORAB,OK
GORASP1,100068445,64689.0,GORASP1,OK
GORASP2,100052914,26003.0,GORASP2,OK
GOSR1,100059771,9527.0,GOSR1,OK
GOSR2,100049943,9570.0,GOSR2,OK
GOT1,100060793,2805.0,GOT1,OK
GOT1L1,100059580,137362.0,GOT1L1,OK
GOT2,100052607,2806.0,GOT2,OK
GP1BA,100072850,2811.0,GP1BA,OK
GP1BB,111774801,2812.0,GP1BB,OK
GP2,100051807,2813.0,GP2,OK
GP5,100060025,2814.0,GP5,OK
GP6,100055234,51206.0,GP6,OK
GP9,102149779,2815.0,GP9,OK
GPA33,100056610,10223.0,GPA33,OK
GPAA1,100063382,8733.0,GPAA1,OK
GPALPP1,100051117,55425.0,GPALPP1,OK
GPAM,100068677,57678.0,GPAM,OK
GPANK1,100058617,7918.0,GPANK1,OK
GPAT2,100062528,150763.0,GPAT2,OK
GPAT3,100061623,84803.0,GPAT3,OK
GPAT4,100050446,137964.0,GPAT4,OK
GPATCH1,100049940,55094.0,GPATCH1,OK
GPATCH11,100054325,253635.0,GPATCH11,OK
GPATCH2,100050453,55105.0,GPATCH2,OK
GPATCH2L,100051827,55668.0,GPATCH2L,OK
GPATCH3,100057040,63906.0,GPATCH3,OK
GPATCH4,100057984,54865.0,GPATCH4,OK
GPATCH8,106780829,23131.0,GPATCH8,OK
GPBAR1,100055590,151306.0,GPBAR1,OK
GPBP1,100051627,65056.0,GPBP1,OK
GPBP1L1,100052246,60313.0,GPBP1L1,OK
GPC1,100067268,2817.0,GPC1,OK
GPC2,100146435,221914.0,GPC2,OK
GPC3,100054222,2719.0,GPC3,OK
GPC4,100057156,2239.0,GPC4,OK
GPC5,100058273,2262.0,GPC5,OK
GPC6,100058693,10082.0,GPC6,OK
GPCPD1,100051946,56261.0,GPCPD1,OK
GPD1,100052204,2819.0,GPD1,OK
GPD1L,100057124,23171.0,GPD1L,OK
GPD2,100050747,2820.0,GPD2,OK
GPER1,102148430,2852.0,GPER1,OK
GPHA2,111775964,170589.0,GPHA2,OK
GPHB5,100051886,122876.0,GPHB5,OK
GPHN,100063078,10243.0,GPHN,OK
GPI,100057160,2821.0,GPI,OK
GPIHBP1,100066111,338328.0,GPIHBP1,OK
GPKOW,100062702,27238.0,GPKOW,OK
GPLD1,100067517,2822.0,GPLD1,OK
GPM6A,100051492,2823.0,GPM6A,OK
GPM6B,100050640,2824.0,GPM6B,OK
GPN1,100055055,11321.0,GPN1,OK
GPN2,100070998,54707.0,GPN2,OK
GPN3,100059433,51184.0,GPN3,OK
GPNMB,100067870,10457.0,GPNMB,OK
GPR101,100056392,83550.0,GPR101,OK
GPR107,100069840,57720.0,GPR107,OK
GPR108,100065932,56927.0,GPR108,OK
GPR119,100054460,139760.0,GPR119,OK
GPR12,100050970,2835.0,GPR12,OK
GPR132,100062719,29933.0,GPR132,OK
GPR135,111770288,64582.0,GPR135,OK
GPR137,100050142,56834.0,GPR137,OK
GPR137B,100050643,7107.0,GPR137B,OK
GPR137C,100054651,283554.0,GPR137C,OK
GPR139,100049812,124274.0,GPR139,OK
GPR141,100070650,353345.0,GPR141,OK
GPR142,100060761,350383.0,GPR142,OK
GPR143,100147328,4935.0,GPR143,OK
GPR146,102148195,115330.0,GPR146,OK
GPR148,100067975,344561.0,GPR148,OK
GPR149,100054036,344758.0,GPR149,OK
GPR15,100072420,2838.0,GPR15,OK
GPR150,102148028,285601.0,GPR150,OK
GPR151,100060990,134391.0,GPR151,OK
GPR152,100059343,390212.0,GPR152,OK
GPR153,100059643,387509.0,GPR153,OK
GPR155,100053256,151556.0,GPR155,OK
GPR156,100070872,165829.0,GPR156,OK
GPR157,100057687,80045.0,GPR157,OK
GPR158,100055544,57512.0,GPR158,OK
GPR15LG,102149943,387695.0,GPR15LG,OK
GPR160,100063658,26996.0,GPR160,OK
GPR161,100051574,23432.0,GPR161,OK
GPR162,100146294,27239.0,GPR162,OK
GPR17,102148121,2840.0,GPR17,OK
GPR171,100050352,29909.0,GPR171,OK
GPR173,102147853,54328.0,GPR173,OK
GPR174,100071745,84636.0,GPR174,OK
GPR176,100057438,11245.0,GPR176,OK
GPR179,100069089,440435.0,GPR179,OK
GPR18,100147633,2841.0,GPR18,OK
GPR180,100059006,160897.0,GPR180,OK
GPR182,100052618,11318.0,ACKR5,OK
GPR183,100050745,1880.0,GPR183,OK
GPR19,100066597,2842.0,GPR19,OK
GPR20,100069651,2843.0,GPR20,OK
GPR21,100067407,2844.0,GPR21,OK
GPR22,100146673,2845.0,GPR22,OK
GPR25,111771301,2848.0,GPR25,OK
GPR26,100057676,2849.0,GPR26,OK
GPR27,111768463,2850.0,GPR27,OK
GPR3,100070910,2827.0,GPR3,OK
GPR31,100055116,2853.0,GPR31,OK
GPR32,106781904,2854.0,GPR32,OK
GPR33,100056072,2856.0,GPR33,OK
GPR34,100050641,2857.0,GPR34,OK
GPR35,100147336,2859.0,GPR35,OK
GPR37,100071585,2861.0,GPR37,OK
GPR37L1,100052137,9283.0,GPR37L1,OK
GPR39,100054142,2863.0,GPR39,OK
GPR4,102148705,2828.0,GPR4,OK
GPR45,100050078,11250.0,GPR45,OK
GPR50,100069508,9248.0,GPR50,OK
GPR52,100052614,9293.0,GPR52,OK
GPR55,100063969,9290.0,GPR55,OK
GPR6,100072266,2830.0,GPR6,OK
GPR61,100061655,83873.0,GPR61,OK
GPR62,100147130,118442.0,GPR62,OK
GPR63,100071441,81491.0,GPR63,OK
GPR65,100061785,8477.0,GPR65,OK
GPR68,100053071,8111.0,GPR68,OK
GPR75,100066961,10936.0,GPR75,OK
GPR82,100146443,27197.0,GPR82,OK
GPR83,100060898,10888.0,GPR83,OK
GPR84,100062469,53831.0,GPR84,OK
GPR85,100055809,54329.0,GPR85,OK
GPR87,100050286,53836.0,GPR87,OK
GPR88,100147075,54112.0,GPR88,OK
GPR89A,100065612,653519.0,GPHRA,OK
GPRASP1,102150057,9737.0,GPRASP1,OK
GPRASP2,102150102,114928.0,GPRASP2,OK
GPRASP3,100069417,80823.0,GPRASP3,OK
GPRC5A,100063606,9052.0,GPRC5A,OK
GPRC5B,100052112,51704.0,GPRC5B,OK
GPRC5C,100060724,55890.0,GPRC5C,OK
GPRC5D,100066685,55507.0,GPRC5D,OK
GPRC6A,100067090,222545.0,GPRC6A,OK
GPRIN1,100068777,114787.0,GPRIN1,OK
GPRIN2,100052165,9721.0,GPRIN2,OK
GPRIN3,100064151,285513.0,GPRIN3,OK
GPS1,100056238,2873.0,GPS1,OK
GPS2,100061712,2874.0,GPS2,OK
GPSM1,100066325,26086.0,GPSM1,OK
GPSM2,100057975,29899.0,GPSM2,OK
GPSM3,100051820,63940.0,GPSM3,OK
GPT,100064717,2875.0,GPT,OK
GPT2,100056741,84706.0,GPT2,OK
GPX1,100053396,2876.0,GPX1,OK
GPX2,100146145,2877.0,GPX2,OK
GPX3,100033835,2878.0,GPX3,OK
GPX4,102147383,2879.0,GPX4,OK
GPX5,100034079,,,NO_ORTHOLOG
GPX6,100061078,257202.0,GPX6,OK
GPX7,100050590,2882.0,GPX7,OK
GPX8,100052064,493869.0,GPX8,OK
GRAMD1A,100058841,57655.0,GRAMD1A,OK
GRAMD1B,100063638,57476.0,GRAMD1B,OK
GRAMD1C,100071350,54762.0,GRAMD1C,OK
GRAMD2A,100063817,196996.0,GRAMD2A,OK
GRAMD2B,100063823,65983.0,GRAMD2B,OK
GRAMD4,100049911,23151.0,GRAMD4,OK
GRAP,100050401,10750.0,GRAP,OK
GRAP2,100055418,9402.0,GRAP2,OK
GRB10,100052610,2887.0,GRB10,OK
GRB14,100061818,2888.0,GRB14,OK
GRB2,100051866,2885.0,GRB2,OK
GRB7,100068063,2886.0,GRB7,OK
GREB1,100056879,9687.0,GREB1,OK
GREB1L,100051009,80000.0,GREB1L,OK
GREM1,100057765,26585.0,GREM1,OK
GREM2,100060243,64388.0,GREM2,OK
GREP1,106781562,283875.0,GREP1,OK
GRHL1,100072465,29841.0,GRHL1,OK
GRHL2,100056140,79977.0,GRHL2,OK
GRHL3,100057567,57822.0,GRHL3,OK
GRHPR,100066566,9380.0,GRHPR,OK
GRIA1,100060020,2890.0,GRIA1,OK
GRIA2,100069331,2891.0,GRIA2,OK
GRIA3,100055136,2892.0,GRIA3,OK
GRIA4,100061561,2893.0,GRIA4,OK
GRID1,100064635,2894.0,GRID1,OK
GRID2,100053364,2895.0,GRID2,OK
GRID2IP,100061666,392862.0,GRID2IP,OK
GRIFIN,100147020,402635.0,GRIFIN,OK
GRIK1,100053602,2897.0,GRIK1,OK
GRIK2,100066235,2898.0,GRIK2,OK
GRIK3,100069209,2899.0,GRIK3,OK
GRIK4,100063477,2900.0,GRIK4,OK
GRIK5,100069742,2901.0,GRIK5,OK
GRIN1,100059861,2902.0,GRIN1,OK
GRIN2A,100051329,2903.0,GRIN2A,OK
GRIN2B,100063746,2904.0,GRIN2B,OK
GRIN2C,100052410,2905.0,GRIN2C,OK
GRIN2D,102148904,2906.0,GRIN2D,OK
GRIN3A,100062954,116443.0,GRIN3A,OK
GRIN3B,111774159,116444.0,GRIN3B,OK
GRINA,100065426,2907.0,GRINA,OK
GRIP1,100058112,23426.0,GRIP1,OK
GRIP2,100055835,80852.0,GRIP2,OK
GRIPAP1,100630728,56850.0,GRIPAP1,OK
GRK1,100069151,6011.0,GRK1,OK
GRK2,100059001,156.0,GRK2,OK
GRK3,100065495,157.0,GRK3,OK
GRK4,100053624,2868.0,GRK4,OK
GRK5,100065919,2869.0,GRK5,OK
GRK6,100068570,2870.0,GRK6,OK
GRK7,100062922,131890.0,GRK7,OK
GRM1,100060603,2911.0,GRM1,OK
GRM2,100052178,2912.0,GRM2,OK
GRM3,100049918,2913.0,GRM3,OK
GRM4,100061879,2914.0,GRM4,OK
GRM5,100060364,2915.0,GRM5,OK
GRM6,100067731,2916.0,GRM6,OK
GRM7,100052696,2917.0,GRM7,OK
GRM8,100071655,2918.0,GRM8,OK
GRN,100051035,2896.0,GRN,OK
GRP,100050124,2922.0,GRP,OK
GRPEL1,100056606,80273.0,GRPEL1,OK
GRPEL2,100071700,134266.0,GRPEL2,OK
GRPR,100056400,2925.0,GRPR,OK
GRSF1,100054436,2926.0,GRSF1,OK
GRTP1,100630737,79774.0,GRTP1,OK
GRWD1,100051020,83743.0,GRWD1,OK
GRXCR1,100054754,389207.0,GRXCR1,OK
GRXCR2,100061120,643226.0,GRXCR2,OK
GSAP,100058064,54103.0,GSAP,OK
GSC,100065418,145258.0,GSC,OK
GSC2,111774578,2928.0,GSC2,OK
GSDMA,100054598,284110.0,GSDMA,OK
GSDMB,100067983,55876.0,GSDMB,OK
GSDMD,100063519,79792.0,GSDMD,OK
GSDME,100033992,1687.0,GSDME,OK
GSE1,100056131,23199.0,GSE1,OK
GSG1,100063635,83445.0,GSG1,OK
GSG1L,100064490,146395.0,GSG1L,OK
GSG1L2,106782793,644070.0,GSG1L2,OK
GSK3A,100069693,2931.0,GSK3A,OK
GSK3B,100061033,2932.0,GSK3B,OK
GSKIP,100054609,51527.0,GSKIP,OK
GSN,100034186,2934.0,GSN,OK
GSPT1,100055960,2935.0,GSPT1,OK
GSPT2,100060648,23708.0,GSPT2,OK
GSR,100062365,2936.0,GSR,OK
GSS,100069411,2937.0,GSS,OK
GSTA1,100056332,,,NO_ORTHOLOG
GSTA3,100056418,,,NO_ORTHOLOG
GSTA4,100056597,2941.0,GSTA4,OK
GSTCD,100073040,79807.0,GSTCD,OK
GSTK1,100056014,373156.0,GSTK1,OK
GSTM3,100061826,2947.0,GSTM3,OK
GSTO1,100069640,9446.0,GSTO1,OK
GSTO2,100069628,119391.0,GSTO2,OK
GSTP1,100059533,2950.0,GSTP1,OK
GSTZ1,100052190,2954.0,GSTZ1,OK
GSX1,100061375,219409.0,GSX1,OK
GSX2,100054004,170825.0,GSX2,OK
GTDC1,100051265,79712.0,QTMAN,OK
GTF2A1,100059967,2957.0,GTF2A1,OK
GTF2A1L,100534009,11036.0,GTF2A1L,OK
GTF2A2,100630597,2958.0,GTF2A2,OK
GTF2B,100052202,2959.0,GTF2B,OK
GTF2E1,100060927,2960.0,GTF2E1,OK
GTF2E2,100058323,2961.0,GTF2E2,OK
GTF2F1,100065544,2962.0,GTF2F1,OK
GTF2F2,100050971,2963.0,GTF2F2,OK
GTF2H1,100056980,2965.0,GTF2H1,OK
GTF2H3,100059174,2967.0,GTF2H3,OK
GTF2H4,100630479,2968.0,GTF2H4,OK
GTF2H5,111771414,404672.0,GTF2H5,OK
GTF2I,100060007,2969.0,GTF2I,OK
GTF2IRD1,100062277,9569.0,GTF2IRD1,OK
GTF2IRD2B,100062625,389524.0,GTF2IRD2B,OK
GTF3A,100060960,2971.0,GTF3A,OK
GTF3C1,100064518,2975.0,GTF3C1,OK
GTF3C2,100071210,2976.0,GTF3C2,OK
GTF3C3,100055057,9330.0,GTF3C3,OK
GTF3C4,100069446,9329.0,GTF3C4,OK
GTF3C5,100069412,9328.0,GTF3C5,OK
GTF3C6,100072366,112495.0,GTF3C6,OK
GTPBP1,100147081,9567.0,GTPBP1,OK
GTPBP10,100060295,85865.0,GTPBP10,OK
GTPBP2,100067543,54676.0,GTPBP2,OK
GTPBP3,100070158,84705.0,GTPBP3,OK
GTPBP4,100071237,23560.0,GTPBP4,OK
GTPBP6,102148321,8225.0,GTPBP6,OK
GTPBP8,100071446,29083.0,GTPBP8,OK
GTSE1,100053362,51512.0,GTSE1,OK
GTSF1,100062505,121355.0,GTSF1,OK
GTSF1L,100070703,149699.0,GTSF1L,OK
GUCA1A,100066702,2978.0,GUCA1A,OK
GUCA1B,100054522,2979.0,GUCA1B,OK
GUCA1C,100071815,9626.0,GUCA1C,OK
GUCA2A,100053741,2980.0,GUCA2A,OK
GUCA2B,100067585,2981.0,GUCA2B,OK
GUCD1,100050055,83606.0,GUCD1,OK
GUCY1A1,100069573,2982.0,GUCY1A1,OK
GUCY1A2,100069474,2977.0,GUCY1A2,OK
GUCY1B1,100069551,2983.0,GUCY1B1,OK
GUCY2C,100063810,2984.0,GUCY2C,OK
GUCY2D,100073037,3000.0,GUCY2D,OK
GUCY2F,100054502,2986.0,GUCY2F,OK
GUF1,100062367,60558.0,GUF1,OK
GUK1,100147433,2987.0,GUK1,OK
GULO,100060483,,,NO_ORTHOLOG
GULP1,100054329,51454.0,GULP1,OK
GUSB,100037416,2990.0,GUSB,OK
GVQW3,102150933,100506127.0,GVQW3,OK
GXYLT1,100054009,283464.0,GXYLT1,OK
GXYLT2,100061938,727936.0,GXYLT2,OK
GYG1,100058811,2992.0,GYG1,OK
GYG2,100064536,8908.0,GYG2,OK
GYPA,102150508,2993.0,GYPA,OK
GYPC,100630761,2995.0,GYPC,OK
GYS1,100054723,2997.0,GYS1,OK
GYS2,100064264,2998.0,GYS2,OK
GZF1,100049901,64412.0,GZF1,OK
GZMA,100062497,3001.0,GZMA,OK
GZMB,100033978,,,NO_ORTHOLOG
GZMK,100052126,3003.0,GZMK,OK
GZMM,111774135,3004.0,GZMM,OK
H1-0,100069872,3005.0,H1-0,OK
H1-1,100052966,3024.0,H1-1,OK
H1-10,102149966,8971.0,H1-10,OK
H1-12,100053791,,,NO_ORTHOLOG
H1-2,100053307,,,NO_ORTHOLOG
H1-3,100146385,,,NO_ORTHOLOG
H1-4,100053593,3008.0,H1-4,OK
H1-5,100052727,3009.0,H1-5,OK
H1-6,100053448,3010.0,H1-6,OK
H1-7P,106783327,341567.0,H1-7,OK
H1-8,100056591,132243.0,H1-8,OK
H1-9,102150416,,,NO_ORTHOLOG
H19,100271857,,,NO_ORTHOLOG
H2AB1,111771646,474382.0,H2AB1,OK
H2AB3,102149092,,,NO_ORTHOLOG
H2AC10,100054424,,,NO_ORTHOLOG
H2AC11,100053378,,,NO_ORTHOLOG
H2AC12,100053325,,,NO_ORTHOLOG
H2AC13,100063021,8329.0,H2AC13,OK
H2AC14,100147394,8331.0,H2AC14,OK
H2AC15,100052942,,,NO_ORTHOLOG
H2AC16,100052837,,,NO_ORTHOLOG
H2AC17,100052624,,,NO_ORTHOLOG
H2AC18P,100054113,,,NO_ORTHOLOG
H2AC19,100054058,,,NO_ORTHOLOG
H2AC1P,116652393,,,NO_ORTHOLOG
H2AC20,100058587,8338.0,H2AC20,OK
H2AC21,106783189,317772.0,H2AC21,OK
H2AC25,100061017,92815.0,H2AC25,OK
H2AC4,100053105,,,NO_ORTHOLOG
H2AC5,100053206,,,NO_ORTHOLOG
H2AC6,100053545,8334.0,H2AC6,OK
H2AC7,100053994,,,NO_ORTHOLOG
H2AC8,100053897,,,NO_ORTHOLOG
H2AC9,100054146,,,NO_ORTHOLOG
H2AJ,102150778,55766.0,H2AJ,OK
H2AL1Q,111771537,,,NO_ORTHOLOG
H2AL3,100055360,115482686.0,H2AL3,OK
H2AP,111771559,25763.0,H2AP,OK
H2AX,111774230,3014.0,H2AX,OK
H2AZ1,100146489,3015.0,H2AZ1,OK
H2AZ2,100629965,94239.0,H2AZ2,OK
H2BC1,100052703,,,NO_ORTHOLOG
H2BC10,100054473,,,NO_ORTHOLOG
H2BC11,100053472,,,NO_ORTHOLOG
H2BC12,100053279,,,NO_ORTHOLOG
H2BC13,100053181,,,NO_ORTHOLOG
H2BC15,100052889,,,NO_ORTHOLOG
H2BC16,100062934,,,NO_ORTHOLOG
H2BC17,100052568,,,NO_ORTHOLOG
H2BC18,100059737,,,NO_ORTHOLOG
H2BC19,100054015,,,NO_ORTHOLOG
H2BC20,100053968,,,NO_ORTHOLOG
H2BC21,100054211,8349.0,H2BC21,OK
H2BC25,100054193,,,NO_ORTHOLOG
H2BC26,102150902,,,NO_ORTHOLOG
H2BC27,100060980,,,NO_ORTHOLOG
H2BC2P,100068021,,,NO_ORTHOLOG
H2BC3,100053156,,,NO_ORTHOLOG
H2BC4,100053499,8347.0,H2BC4,OK
H2BC5,100053645,,,NO_ORTHOLOG
H2BC6,100053695,,,NO_ORTHOLOG
H2BC7,100068222,,,NO_ORTHOLOG
H2BC8,100053847,,,NO_ORTHOLOG
H2BC9,100068321,,,NO_ORTHOLOG
H2BK1,102150908,114483833.0,H2BK1,OK
H2BL1,100073295,,,NO_ORTHOLOG
H2BW1,111771477,,,NO_ORTHOLOG
H2BW2,100054123,,,NO_ORTHOLOG
H2BW4,100053978,,,NO_ORTHOLOG
H3-3A,100054462,3020.0,H3-3A,OK
H3-3B,115900865,3021.0,H3-3B,OK
H3-4,100061535,8290.0,H3-4,OK
H3C1,100068151,,,NO_ORTHOLOG
H3C10,116435294,8357.0,H3C10,OK
H3C11,100052783,,,NO_ORTHOLOG
H3C12,115900864,,,NO_ORTHOLOG
H3C15,111773533,,,NO_ORTHOLOG
H3C2,100053065,,,NO_ORTHOLOG
H3C3,100053259,,,NO_ORTHOLOG
H3C4,102149722,,,NO_ORTHOLOG
H3C5,106782280,,,NO_ORTHOLOG
H3C7,100054378,,,NO_ORTHOLOG
H3C8,115945189,,,NO_ORTHOLOG
H4C1,100053018,,,NO_ORTHOLOG
H4C10P,102147581,,,NO_ORTHOLOG
H4C11,100630823,,,NO_ORTHOLOG
H4C12,115930067,,,NO_ORTHOLOG
H4C13,100052511,,,NO_ORTHOLOG
H4C14,100054164,,,NO_ORTHOLOG
H4C15,100054253,,,NO_ORTHOLOG
H4C16,100063835,121504.0,H4C16,OK
H4C19,100054236,,,NO_ORTHOLOG
H4C2,102148494,,,NO_ORTHOLOG
H4C3,100053403,8364.0,H4C3,OK
H4C4,106782239,,,NO_ORTHOLOG
H4C6,115945192,,,NO_ORTHOLOG
H4C7,100054332,,,NO_ORTHOLOG
H4C8,100054521,,,NO_ORTHOLOG
H4C9,106782250,,,NO_ORTHOLOG
H6PD,100057646,9563.0,H6PD,OK
HAAO,100053689,23498.0,HAAO,OK
HABP2,100068293,3026.0,HABP2,OK
HABP4,100629478,22927.0,HABP4,OK
HACD1,100068422,9200.0,HACD1,OK
HACD2,100070489,201562.0,HACD2,OK
HACD3,100053192,51495.0,HACD3,OK
HACD4,100064435,401494.0,HACD4,OK
HACE1,100071887,57531.0,HACE1,OK
HACL1,100063920,26061.0,HACL1,OK
HADH,100072956,3033.0,HADH,OK
HADHA,100071381,3030.0,HADHA,OK
HADHB,100071371,3032.0,HADHB,OK
HAGH,100067912,3029.0,HAGH,OK
HAGHL,100067135,84264.0,HAGHL,OK
HAL,100052193,3034.0,HAL,OK
HAMP,100050728,57817.0,HAMP,OK
HAND1,100071390,9421.0,HAND1,OK
HAND2,100066124,9464.0,HAND2,OK
HAO1,100051628,54363.0,HAO1,OK
HAO2,100066884,51179.0,HAO2,OK
HAP1,100066559,9001.0,HAP1,OK
HAPLN1,100034208,1404.0,HAPLN1,OK
HAPLN2,100058030,60484.0,HAPLN2,OK
HAPLN3,100069760,145864.0,HAPLN3,OK
HAPLN4,100146860,404037.0,HAPLN4,OK
HAPSTR1,100057445,29035.0,HAPSTR1,OK
HAPSTR2,100055351,389895.0,HAPSTR2,OK
HARBI1,100057237,283254.0,HARBI1,OK
HARS1,100061748,3035.0,HARS1,OK
HARS2,100072383,23438.0,HARS2,OK
HAS1,111775259,3036.0,HAS1,OK
HAS2,100009708,3037.0,HAS2,OK
HAS3,100066947,3038.0,HAS3,OK
HASPIN,102148640,83903.0,HASPIN,OK
HAT1,100063802,8520.0,HAT1,OK
HAUS1,100053228,115106.0,HAUS1,OK
HAUS2,100056634,55142.0,HAUS2,OK
HAUS3,100051235,79441.0,HAUS3,OK
HAUS4,100052680,54930.0,HAUS4,OK
HAUS5,100059743,23354.0,HAUS5,OK
HAUS6,100063596,54801.0,HAUS6,OK
HAUS7,100058557,55559.0,HAUS7,OK
HAUS8,100069981,93323.0,HAUS8,OK
HAVCR2,100071246,84868.0,HAVCR2,OK
HAX1,100056899,10456.0,HAX1,OK
HBA,100036557,,,NO_ORTHOLOG
HBA2,100036558,,,NO_ORTHOLOG
HBB,100054109,,,NO_ORTHOLOG
HBEGF,100629956,1839.0,HBEGF,OK
HBP1,100050609,26959.0,HBP1,OK
HBQ1,100066424,,,NO_ORTHOLOG
HBS1L,100073159,10767.0,HBS1L,OK
HBZ,100065056,3050.0,HBZ,OK
HCAR1,100060403,27198.0,HCAR1,OK
HCAR2,100060366,338442.0,HCAR2,OK
HCCS,100053680,3052.0,HCCS,OK
HCFC1,100058080,3054.0,HCFC1,OK
HCFC1R1,100065863,54985.0,HCFC1R1,OK
HCFC2,100067735,29915.0,HCFC2,OK
HCK,100068557,3055.0,HCK,OK
HCLS1,100060842,3059.0,HCLS1,OK
HCN1,100064345,348980.0,HCN1,OK
HCN2,111774151,610.0,HCN2,OK
HCN3,100063574,57657.0,HCN3,OK
HCN4,100063001,10021.0,HCN4,OK
HCRT,100066236,3060.0,HCRT,OK
HCRTR1,100056164,3061.0,HCRTR1,OK
HCRTR2,100056772,3062.0,HCRTR2,OK
HCST,100060115,10870.0,HCST,OK
HDAC1,100070281,3065.0,HDAC1,OK
HDAC10,100146361,83933.0,HDAC10,OK
HDAC11,100055240,79885.0,HDAC11,OK
HDAC2,100072578,3066.0,HDAC2,OK
HDAC3,100061405,8841.0,HDAC3,OK
HDAC4,100067014,9759.0,HDAC4,OK
HDAC5,100051252,10014.0,HDAC5,OK
HDAC6,100062208,10013.0,HDAC6,OK
HDAC7,100050617,51564.0,HDAC7,OK
HDAC8,100052401,55869.0,HDAC8,OK
HDAC9,106780857,9734.0,HDAC9,OK
HDC,100069939,3067.0,HDC,OK
HDDC2,100073017,51020.0,HDDC2,OK
HDDC3,100068953,374659.0,HDDC3,OK
HDGF,100064506,3068.0,HDGF,OK
HDGFL1,100147396,154150.0,HDGFL1,OK
HDGFL2,111774182,84717.0,HDGFL2,OK
HDGFL3,100068061,50810.0,HDGFL3,OK
HDHD2,100053377,84064.0,HDHD2,OK
HDHD3,100052870,81932.0,HDHD3,OK
HDHD5,100055425,27440.0,HDHD5,OK
HDLBP,100057882,3069.0,HDLBP,OK
HDX,100071712,139324.0,HDX,OK
HEATR1,100050411,55127.0,HEATR1,OK
HEATR3,100058410,55027.0,HEATR3,OK
HEATR4,100146130,399671.0,HEATR4,OK
HEATR5A,100050339,25938.0,HEATR5A,OK
HEATR5B,100054373,54497.0,HEATR5B,OK
HEATR6,100071508,63897.0,HEATR6,OK
HEATR9,100147134,256957.0,HEATR9,OK
HEBP1,100066737,50865.0,HEBP1,OK
HEBP2,100073199,23593.0,HEBP2,OK
HECA,100065354,51696.0,HECA,OK
HECTD1,100050203,25831.0,HECTD1,OK
HECTD2,100071434,143279.0,HECTD2,OK
HECTD3,100065625,79654.0,HECTD3,OK
HECTD4,100056981,283450.0,HECTD4,OK
HECW1,100064499,23072.0,HECW1,OK
HECW2,100055015,57520.0,HECW2,OK
HEG1,100070351,57493.0,HEG1,OK
HELB,100058069,92797.0,HELB,OK
HELLS,100061642,3070.0,HELLS,OK
HELQ,100052320,113510.0,HELQ,OK
HELT,100050837,391723.0,HELT,OK
HELZ,100053580,9931.0,HELZ,OK
HELZ2,100060598,85441.0,HELZ2,OK
HEMGN,100054885,55363.0,HEMGN,OK
HEMK1,100061549,51409.0,HEMK1,OK
HENMT1,100060671,113802.0,HENMT1,OK
HEPACAM,100064233,220296.0,HEPACAM,OK
HEPACAM2,100061854,253012.0,HEPACAM2,OK
HEPH,100065379,9843.0,HEPH,OK
HEPHL1,100058293,341208.0,HEPHL1,OK
HEPN1,100630438,641654.0,HEPN1,OK
HERC1,100067089,8925.0,HERC1,OK
